id,title,position,rx_bytes,rx_packets,tx_bytes,tx_packets,success_pct_rate
sta1,sta1,"0.0, 5.0, 0.0",115016,2741,3498,40,1.00
sta2,sta2,"0.0, 10.0, 0.0",115212,2742,3474,39,0.80
sta3,sta3,"70.0, 5.0, 0.0",115152,2741,3498,40,0.80
sta4,sta4,"70.0, -5.0, 0.0",114419,2733,3410,39,0.80
ap1,ap1,"0.0, 5.0, 0.0",10778,143,13352,143,0.70
ap2,ap2,"0.0, 10.0, 0.0",0,0,0,0,0.70
