id,title,position,rx_bytes,rx_packets,tx_bytes,tx_packets,success_pct_rate
sta1,sta1,"0.0, 15.0, 0.0",163788,3930,4578,53,1.00
sta2,sta2,"0.0, -15.0, 0.0",163984,3931,4554,52,0.80
sta3,sta3,"10.0, 10.0, 0.0",163924,3930,4578,53,0.80
sta4,sta4,"80.0, 10.0, 0.0",163191,3922,4578,53,0.80
ap1,ap1,"0.0, 15.0, 0.0",14208,192,17664,192,0.70
ap2,ap2,"0.0, -15.0, 0.0",0,0,0,0,0.70
