id,title,position,rx_bytes,rx_packets,tx_bytes,tx_packets,success_pct_rate
sta1,sta1,"0.0, 10.0, 0.0",66149,1552,2330,26,1.00
sta2,sta2,"0.0, -10.0, 0.0",66345,1553,2306,25,0.80
sta3,sta3,"70.0, 10.0, 0.0",66285,1552,2330,26,0.80
sta4,sta4,"70.0, -10.0, 0.0",65552,1544,2330,26,0.80
ap1,ap1,"0.0, 10.0, 0.0",7208,92,8864,92,0.70
ap2,ap2,"0.0, -10.0, 0.0",0,0,0,0,0.70
